first_author,institution,full_affiliation
 Mohammad Alrawashdeh,Department of Population Medicine,"Department of Population Medicine, Harvard Medical School & Harvard Pilgrim Health Care Institute, Boston, MA"
 Aimee Abide,Emory University Hospital Midtown,"Emory University Hospital Midtown, Atlanta, GA"
 Brenda Schiltz,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Steven Kazmierczak,Oregon Health & Science University,"Oregon Health & Science University, Portland, OR"
 Tammy Eaton,University of Pittsburgh Medical Center Mercy,"University of Pittsburgh Medical Center Mercy, Pittsburgh, PA"
 Elizabeth Killien,Seattle Children’s Hospital,"Seattle Children’s Hospital, Seattle, WA"
 Jean-Sebastien Rachoin,University Hospital,"University Hospital, Camden, NJ"
 Mitchell Daley,Seton Family Healthcare,"Seton Family Healthcare, University of Texas, Austin, TX"
 Nitin Abrol,Rochester,"Rochester, MN"
 Niranjan Vijayakumar,University of Iowa Stead Family Children’s Hospital,"University of Iowa Stead Family Children’s Hospital, Iowa City, IA"
 Richard Savel,Maimonides Medical Center,"Maimonides Medical Center, New York, NY"
 Donna Armaignac,Baptist Health South Florida,"Baptist Health South Florida, Fort Lauderdale, FL"
 Emily Harris,TriStar Centennial Medical Center,"TriStar Centennial Medical Center, Nashville, TN"
 Brian Dieffenderfer,Barnes-Jewish Hospital - Washington University School of Medicine,"Barnes-Jewish Hospital - Washington University School of Medicine, Saint Louis, MO"
 Tamas Szakmany,Royal Gwent Hospital,"Royal Gwent Hospital, Newport"
 Mindy Mason,University of New Mexico,"University of New Mexico, Albuquerque, NM"
 Richard Savel,Maimonides Medical Center,"Maimonides Medical Center, New York, NY"
 Patricia Louzon Lynch,AdventHealth Orlando,"AdventHealth Orlando, Orlando, FL"
 Vishal Bakshi,Emory Healthcare Crawford Long Hospital,"Emory Healthcare Crawford Long Hospital, Atlanta, GA"
 Kejun Xu,Emory Midtown,"Emory Midtown, Atlanta, GA"
 David Carpenter,Emory University Hospital,"Emory University Hospital, Atlanta, GA"
 Yasaman Adibnia,Tufts Medical Center,"Tufts Medical Center, Department of Neurology, Boston, MA"
 Sarah Peacock,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Elizabeth Williams,University of South Wales,"University of South Wales, Treforest, United Kingdom"
 David Carpenter,Emory University Hospital,"Emory University Hospital, Atlanta, GA"
 Jason White,Barnes Jewish Hospital,"Barnes Jewish Hospital, St. Louis, MO"
 Julia Logan Rutkowski,Orlando,"Orlando, FL"
 Anne Rain Brown,University of Texas MD Anderson Center,"University of Texas MD Anderson Center, Houston, TX"
 Stephen Lemon,UF Health Shands,"UF Health Shands, Gainesville, FL"
 Kayvan Moussavi,Marshall B. Ketchum University,"Marshall B. Ketchum University, Tustin, CA"
 Oveys Mansuri,Central Michigan University,"Central Michigan University, Saginaw, MI"
 Anita Reddy,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Christina Maratta,Hospital for Sick Children,"Hospital for Sick Children, Toronto, Ontario"
 Kearsten Westmoreland,North Florida/South Georgia Veteran’s Health System,"North Florida/South Georgia Veteran’s Health System, Gainesville, FL"
 Carlos Valle,Baptist Health South Florida,"Baptist Health South Florida, Miami, FL"
 Anton Manasco,WakeMed Hospital,"WakeMed Hospital, Raleigh, NC"
 Won-Yeon Lee,Yonsei University Wonju College of Medicine,"Yonsei University Wonju College of Medicine, Wonju, South Korea"
 Christina Canfield,Middlefield,"Middlefield, OH"
 Stephanie Bass,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Brian Hoffman,University Hospitals Cleveland Medical Center,"University Hospitals Cleveland Medical Center, Cleveland, OH"
 Olivia Taylor,Hempstead,"Hempstead, NY"
 Charlene Kalani,Corpus Christi Medical Center,"Corpus Christi Medical Center, Corpus Christi, TX"
 Abhinav Mittal,West Virginia University,"West Virginia University, Morgantown, WV"
 Anneka Hutton,Florida Atlantic University,"Florida Atlantic University, Charles E. Schmidt College of Medicine, Boca Raton, FL"
 Christan Santos,Mayo Clinic Hospital in Florida,"Mayo Clinic Hospital in Florida, Jacksonville, FL"
 Guramrinder Thind,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Jacob Hayden,University of Missouri-Columbia Hospitals and Clinics,"University of Missouri-Columbia Hospitals and Clinics, Columbia, MO"
 Danielle Marut,Cleveland Clinic Avon Hospital,"Cleveland Clinic Avon Hospital, Avon, OH"
 Wesley Kafka,Charleston Area Medical Center,"Charleston Area Medical Center, Charleston, WV"
 Rita Gayed,Grady Health System,"Grady Health System, Atlanta, GA"
 Czarina Bock,Tampa General Hospital,"Tampa General Hospital, Tampa, FL"
 Stacy Pasciolla,Philadelphia College of Pharmacy/Cooper University Hospital,"Philadelphia College of Pharmacy/Cooper University Hospital, Philadelphia, PA"
 Chelsea Bast,Carilion Roanoke Memorial Hospital,"Carilion Roanoke Memorial Hospital, Roanoke, VA"
 Alyson Katz,New York,"New York, NY"
 Richard Vautier,University of South Florida,"University of South Florida, Tampa, FL"
 Megan Van Berkel Patel,Chattanooga,"Chattanooga, TN"
 Christina Crawley,Huntsville Hospital,"Huntsville Hospital, Huntsville, AL"
 Channing Hui,Brown University,"Brown University, Providence, RI"
 Amanda Rivera,Hackensack University Medical Center,"Hackensack University Medical Center, Hackensack, NJ"
 Mckenna Jennings,Indianapolis,"Indianapolis, IN"
 Jose Rojas,Janssen - Cilag,"Janssen - Cilag, Bogota, Colombia"
 Ifrah Butt,Aventura Hospital and Medical Center,"Aventura Hospital and Medical Center, Aventura, FL"
 Anna Grindy,Johns Hopkins All Children’s Hospital,"Johns Hopkins All Children’s Hospital, Saint Petersburg, FL"
 Jordan Mudery,University of California,"University of California, Irvine, Irvine, CA"
 Niranjan Vijayakumar,University of Iowa Children’s Hospital,"University of Iowa Children’s Hospital, Iowa City, IA"
 Beryl Valentine,Advocate Children’s Hospital,"Advocate Children’s Hospital, Park Ridge, IL"
 Mohammad Sallam,Oishei Children’s Hospital,"Oishei Children’s Hospital, Buffalo, NY"
 Renuka Mehta,Medical College of Georgia at Augusta University,"Medical College of Georgia at Augusta University, Augusta, GA"
 Saul Flores,Texas Medical Center,"Texas Medical Center, Missouri City, TX"
 Jiuann-Huey Lin,Children’s Hospital of Pittsburgh of UPMC,"Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA"
 Michelle Perez,Children’s Hospital at Montefiore,"Children’s Hospital at Montefiore, Bronx, NY"
 Michael Spaeder,University of Virginia School of Medicine,"University of Virginia School of Medicine, Charlottesville, VA"
 Michael Spaeder,University of Virginia School of Medicine,"University of Virginia School of Medicine, Charlottesville, VA"
 Ji-Yeon Kim,Detroit,"Detroit, MI"
 Amanda Becker,Northwestern,"Northwestern, Chicago, IL"
 Amanda Becker,Chicago,"Chicago, IL"
 Dean Karahalios,SUNY Upstate Medical University,"SUNY Upstate Medical University, Syracuse, NY"
 Stephanie Patterson,Vanderbilt Children’s Hospital,"Vanderbilt Children’s Hospital, Nashville, TN"
 Jonah Padawer-Curry,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Dennrik Abrahan,Cleveland Clinic,"Cleveland Clinic, Pediatric Critical Care, Cleveland, OH"
 Nir Atlas,Children’s Healthcare of Atlanta,"Children’s Healthcare of Atlanta, Atlanta, GA"
 Varsha Gharpure,Advocate Children’s Hospital,"Advocate Children’s Hospital, Park Ridge, IL"
 Justin Robison,Aurora,"Aurora, CO"
 Adam Himebauch,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 Joseph Tella,Boston Children’s Hospital,"Boston Children’s Hospital, Boston, MA"
 Bradley Scherer,Baylor College of Medicine/Texas Children’s Hospital,"Baylor College of Medicine/Texas Children’s Hospital, Houston, TX"
 Jesse Davidson,Children’s Hospital Colorado,"Children’s Hospital Colorado, Aurora, CO"
 Arun Baranwal,Postgraduate Institute of Medical Education & Research,"Postgraduate Institute of Medical Education & Research, Chandigarh, Chandigarh"
 Rachel Maurice,Houston,"Houston, TX"
 Ivie Esangbedo,UT Southwestern Medical Center,"UT Southwestern Medical Center, Dallas, TX"
 Hani Alsaedi,Riley Hospital for Children,"Riley Hospital for Children, Indianapolis, IN"
 Lydia Sumbel,The Children’s Hospital of San Antonio,"The Children’s Hospital of San Antonio, San Antonio, TX"
 Alexander Constas,Johns Hopkins Hospital,"Johns Hopkins Hospital, Baltimore, MD"
 Alyson Zulfer,Tulsa,"Tulsa, OK"
 Shannon Solt,University of North Carolina at Chapel Hill,"University of North Carolina at Chapel Hill, Chapel Hill, NC"
 Anchal Wats,The Children’s Hospital of San Antonio,"The Children’s Hospital of San Antonio, San Antonio, TX"
 Prithvi Raj Sendi Keshavamurthy,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Mashael Alqahtani,Nemours Children’s Hospital,"Nemours Children’s Hospital, Orlando, FL"
 Jennifer Ruiz,San Juan,"San Juan, PR"
 Sidra Ishaque,The Aga Khan University Hospital,"The Aga Khan University Hospital, Karachi, Pakistan"
 Will Guider,Nationwide Children’s Hospital,"Nationwide Children’s Hospital, Columbus, OH"
 Sarah Scott,Baltimore,"Baltimore, MD"
 Chantal Bruno,Children’s National Medical Center,"Children’s National Medical Center, Washington, DC"
 Daniel Busch,Klinikum rechts der Isar der Technischen Universität München,"Klinikum rechts der Isar der Technischen Universität München, München, Germany"
 Wolfgang Huber,Klinikum rechts der Isar; Technical University of Munich,"Klinikum rechts der Isar; Technical University of Munich, Munich, Germany"
 Mohammad Ebraheem,University of Florida College of Medicine,"University of Florida College of Medicine, Gainesville, FL"
 Niranjan Vijayakumar,University of Iowa Children’s Hospital,"University of Iowa Children’s Hospital, Iowa City, IA"
 Nikola Dragisic,University of Iowa Hospital and Clinics,"University of Iowa Hospital and Clinics, Iowa City, IA"
 Catherine Gretchen,Children’s Hospital of Pittsburgh of UPMC,"Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA"
 Divya Sabapathy,N/A,N/A
 Heather Wolfe,Philadelphia,"Philadelphia, PA"
 Tarun Malkani,Madison,"Madison, WI"
 Saul Flores,Texas Medical Center,"Texas Medical Center, Missouri City, TX"
 Saul Flores,Texas Medical Center,"Texas Medical Center, Missouri City, TX"
 Erin Herstine,Johns Hopkins University School of Medicine,"Johns Hopkins University School of Medicine, Baltimore, MD"
 Vanessa Ogueri,Hasbro Children’s Hospital/Brown University,"Hasbro Children’s Hospital/Brown University, Providence, RI"
 Matthew Brown,George Washington University Hospital,"George Washington University Hospital, Washington, DC"
 Nicole Rapista,Baltimore,"Baltimore, MD"
 Sari Umekawa,UCSF Fresno,"UCSF Fresno, Fresno, CA"
 Breyanna Reachi,Intermountain Medical Center,"Intermountain Medical Center, Sandy, UT"
 Amy Baumann,Columbus,"Columbus, OH"
 Aimee Abide,Emory University Hospital Midtown,"Emory University Hospital Midtown, Atlanta, GA"
 Brian Toston,Aventura Hospital Medical Center,"Aventura Hospital Medical Center, Miami, FL"
 Muhammad Uzair Lodhi,Raleigh General Hospital,"Raleigh General Hospital, West Virginia University, Beckley, WV"
 Ashwini Arjuna,University of Florida-Shands Hospital,"University of Florida-Shands Hospital, Gainesville, FL"
 Hayk Papukhyan,Clinton Twp,"Clinton Twp, MI"
 Zaid Rana,Larkin Community Hospital,"Larkin Community Hospital, South Miami, FL"
 Zhi Huang,Philips,"Philips, Cambridge, MA"
 Michael Kenes,Wake Forest Baptist Health,"Wake Forest Baptist Health, Winston Salem, NC"
 Brian Dusseau,Riverside Methodist Hospital,"Riverside Methodist Hospital, Columbus, OH"
 Maria Escobar,University of Maryland School of Medicine,"University of Maryland School of Medicine, Division of Pediatric Critical Care Medicine, Baltimore, MD"
 Barry Burstein,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Crystal Ives Tallman,University of Michigan,"University of Michigan, Ann Arbor, MI"
 Wolfgang Huber,Munich (München),Munich (München)
 Caleb Harrell,University of Florida,"University of Florida, Gainesville, FL"
 Racha Tadros,Ohio State University,"Ohio State University, Columbus, OH"
 Ryan Griffith,University of Toledo,"University of Toledo, Toledo, OH"
 Sung Min Kim,George Washington University Hospital,"George Washington University Hospital, Washington, DC"
 Nasim Motayar,Strong Memorial Hospital of the University of Rochester,"Strong Memorial Hospital of the University of Rochester, Rochester, NY"
 Jake West,Des Moines,"Des Moines, IA"
 John Sharp,Sicklerville,"Sicklerville, NJ"
 Sri Varsha Pulijal,University of Massachusetts Medical School,"University of Massachusetts Medical School, Worcester, MA"
 Amarilis Martin,N/A,N/A
 Ali Ammar,Orlando,"Orlando, FL"
 Aibek Mirrakhimov,University of New Mexico,"University of New Mexico, Albuquerque, NM"
 Huayong Hu,Loma Linda University Medical Center,"Loma Linda University Medical Center, Temecula, CA"
 Behzad Amoozgar,Raritan Bay Medical Center (JSUMC Perth Amboy Division),"Raritan Bay Medical Center (JSUMC Perth Amboy Division), Perth Amboy, NJ"
 Torben Becker,University of Florida,"University of Florida, Gainesville, FL"
 Kanako Takeshige,Shinshu University,"Shinshu University, Matsumoto, Japan"
 Michael Kiyatkin,NewYork-Presbyterian/Columbia University Irving Medical Center,"NewYork-Presbyterian/Columbia University Irving Medical Center, New York, NY"
 Senthil Aruchamy,Mercy Hospital Saint Louis,"Mercy Hospital Saint Louis, Saint Louis, MO"
 Pedro Dammert,Bayhealth Medical Center,"Bayhealth Medical Center, Dover, DE"
 Anneka Hutton,Florida Atlantic University Charles E. Schmidt College of Medicine,"Florida Atlantic University Charles E. Schmidt College of Medicine, Boca Raton, FL"
 Megan Fisher,Lehigh Valley Health Network,"Lehigh Valley Health Network, Allentown, PA"
 Courtney Olesky,New Hanover Regional Medical Center,"New Hanover Regional Medical Center, Wilmington, NC"
 Omar Badawi,Philips Healthcare,"Philips Healthcare, Baltimore, MD"
 Maria Gabriela Sanchez,Augusta University Medical Center,"Augusta University Medical Center, Augusta, GA"
 Muhammad Uzair Lodhi,Raleigh General Hospital,"Raleigh General Hospital, West Virginia University, Beckley, WV"
 Aric Johnson,University of Kentucky,"University of Kentucky, Lexington, KY"
 Bryan Nevil,University of Arkansas for Medical Sciences,"University of Arkansas for Medical Sciences, Little Rock, AR"
 Ashley Budd,McGaw Medical Center of Northwestern University,"McGaw Medical Center of Northwestern University, Chicago, IL"
 Nader Emami,Bronx,"Bronx, NY"
 Muhammad Uzair Lodhi,Raleigh General Hospital,"Raleigh General Hospital, West Virginia University, Beckley, WV"
 Jenna Marie Peterson,Hennepin Healthcare,"Hennepin Healthcare, Minneapolis, MN"
 Tanya Belle,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Ammar Malik,Mercy Catholic Medical Center,"Mercy Catholic Medical Center, Darby, PA"
 Eugene Oreshnikov,Chuvash State University,"Chuvash State University, Cheboksary, Chuvashia"
 Vishal Singh,Brandon Regional Hospital,"Brandon Regional Hospital, Brandon, FL"
 Payal Gurnani,Rush University Medical Center,"Rush University Medical Center, Chicago, IL"
 Namrata Patil,Brigham & Women’s Hospital,"Brigham & Women’s Hospital, Boston, MA"
 Arunabha Basu,University of Chicago Medicine,"University of Chicago Medicine, Chicago, IL"
 Adam Sturts,Inspira Health Network,"Inspira Health Network, Vineland, NJ"
 Ami Shah,Mount Sinai St Luke’s Hospital,"Mount Sinai St Luke’s Hospital, New York, NY"
 Mariam Saeed,Bronx,"Bronx, NY"
 Laurel Carter,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Oluwapelumi Osibanjo,University of Kentucky,"University of Kentucky, Lexington, KY"
 Dilesha Kumanayaka,St. George’s University School of Medicine,"St. George’s University School of Medicine, Grenada, West Indies"
 Kevin Felpel,Christiana Care Health System,"Christiana Care Health System, Newark, DE"
 Yuichiro Kashima,Matsumoto,"Matsumoto, Nagano"
 Matthew Brown,George Washington University Hospital,"George Washington University Hospital, Washington, DC"
 Ruchi Jain,Hackensack Meridian Health,"Hackensack Meridian Health, Hackensack University Medical Center, Hackensack, NJ"
 Brian Lopez,Lebanon,"Lebanon, NH"
 Nisha Agarwal,University of Miami,"University of Miami, Miami, FL"
 John Cuenca,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Ann-Kristin Adamsen,Klinikum rechts der Isar,"Klinikum rechts der Isar, Technical University of Munich, Munich, Germany"
 Wolfgang Huber,Klinikum rechts der Isar,"Klinikum rechts der Isar, Technical University of Munich, Munich (München), Germany"
 Hannah Milenkovich,N/A,N/A
 Hiroshi Ueta,Kobe,"Kobe, Japan"
 Keith Killu,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Alex Gregorowicz,University of Chicago,"University of Chicago, Chicago, IL"
 Avinash Sharma,Washington,"Washington, DC"
 Kaylee Maynard,Strong Memorial Hospital of the University of Rochester,"Strong Memorial Hospital of the University of Rochester, Rochester, NY"
 Ali Ammar,Orlando,"Orlando, FL"
 Joseph Hamera,William Beaumont Hospital Department of Emergency Medicine,"William Beaumont Hospital Department of Emergency Medicine, Royal Oak, MI"
 Robertas Samalavicius,II Department of Anesthesiology,"II Department of Anesthesiology, Vilnius University Hospital Santaros Klinikos, Vilnius, Lithuania"
 Alexa Marrese,Jacksonville,"Jacksonville, FL"
 Erik Dong,Cedars Sinai Medical Center,"Cedars Sinai Medical Center, Los Angeles, CA"
 Muhammad Uzair Lodhi,Raleigh General Hospital,"Raleigh General Hospital, West Virginia University, Beckley, WV"
 Varidhi Nauriyal,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Austin Bolton,Lexington,"Lexington, KY"
 Sena Veazey,Fort Sam Houston,"Fort Sam Houston, TX"
 Kristina Ieronimakis,Madigan Army Medical Center,"Madigan Army Medical Center, Tacoma, WA"
 Zeeshan Chauhan,Aventura Hospital and Medical Center,"Aventura Hospital and Medical Center, Aventura, FL"
 Christopher Colombo,Madigan Army Medical Center,"Madigan Army Medical Center, Joint Base Lewis-McChord, WA"
 Christianne Lane,N/A,N/A
 Sarah Piel,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 Joanna Janowska,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 Shahaf Katalan,IIBR,"IIBR, Ness Ziona, Israel"
 Vincent Mirabile,Mercy Catholic Medical Center,"Mercy Catholic Medical Center, Darby, PA"
 Brian Keaton,Mount Sinai Hospital,"Mount Sinai Hospital, New York, NY"
 Navneet Kaur,Florida Atlantic University Charles E. Schmidt College of Medicine,"Florida Atlantic University Charles E. Schmidt College of Medicine, Boca Raton, FL"
 Abdulrahman Alshaya,Brigham and Women’s Hospital,"Brigham and Women’s Hospital, Boston, MA"
 Caroline Vizzi,The Ohio State University Wexner Medical Center,"The Ohio State University Wexner Medical Center, Columbus, OH"
 Trenton Vu,Baylor St. Luke’s Medical Center,"Baylor St. Luke’s Medical Center, Houston, TX"
 Franklin Huggins,West Virginia University School of Pharmacy,"West Virginia University School of Pharmacy, Charleston, WV"
 Amy Stewart,Advocate Health Care,"Advocate Health Care, Chicago, IL"
 John Forstall,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 Sarah Peppard,Concordia University Wisconsin,"Concordia University Wisconsin, Mequon, WI"
 Kaitlin Pruskowski,San Antonio,"San Antonio, TX"
 Melissa Thompson Bastin,University of Kentucky HealthCare,"University of Kentucky HealthCare, Wilmore, KY"
 Mandy Chen,Mineola,"Mineola, NY"
 Adham Mohamed,Saint Luke’s Hospital of Kansas City,"Saint Luke’s Hospital of Kansas City, Kansas City, MO"
 Mahmoud Ammar,Yale-New Haven Hospital,"Yale-New Haven Hospital, New Haven, CT"
 Alexis Hochstetler,UF Health Jacksonville,"UF Health Jacksonville, Tampa, FL"
 Zacharia Grami,McGovern Medical School,"McGovern Medical School, Houston, TX"
 Sean DeGrande,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Mohammad Arabiat,Brown University,"Brown University, Providence, RI"
 Sarah Chalmers,Rochester,"Rochester, MN"
 Vaishnavi Nagarajan,University of Kentucky,"University of Kentucky, Lexington, KY"
 Andrea Maxwell,Cincinnati,"Cincinnati, OH"
 Stephanie Johnson,Norton Children’s Hospital,"Norton Children’s Hospital, Louisville, KY"
 Alexandra Schaller,Le Bonheur Children’s Hospital,"Le Bonheur Children’s Hospital, Memphis, TN"
 Kathleen Meert,Children’s Hospital of Michigan,"Children’s Hospital of Michigan, Detroit, MI"
 Jonathan Runyon,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Nick Huff,Rainbow Babies & Children’s Hospital,"Rainbow Babies & Children’s Hospital, Cleveland, OH"
 Murray Pollack,Children’s National Health System,"Children’s National Health System, Washington, DC"
 Danielle Hodge,University of Iowa Stead Family Children’s Hospital,"University of Iowa Stead Family Children’s Hospital, Iowa City, IA"
 Aditya Badheka,University of Iowa Hospital and Clinics,"University of Iowa Hospital and Clinics, Iowa City, IA"
 Matthew DiMeglio,Philadelphia,"Philadelphia, PA"
 Mohammed Alahmari,Alkhobar,Alkhobar
 Jason Espinoza,Ann and Robert H Lurie Children’s Hospital,"Ann and Robert H Lurie Children’s Hospital, Chicago, IL"
 Danielle Noles,University of Tennessee Health Science Center,"University of Tennessee Health Science Center, Memphis, TN"
 Ameer Al-Hadidi,Beaumont Health,"Beaumont Health, Oakland University William Beaumont School of Medicine, Royal Oak, MI"
 Christine Capone,MPH,"MPH, MD, Cohen Children’s Medical Center - Northwell Health, New Hyde Park, NY"
 Beth Emerson,Yale University Medical Center,"Yale University Medical Center, New Haven, CT"
 Balagangadhar Totapally,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Arun Baranwal,Postgraduate Institute of Medical Education & Research,"Postgraduate Institute of Medical Education & Research, Chandigarh"
 Caleb Cantrell,University of Tennessee Health Science Center,"University of Tennessee Health Science Center, Memphis, TN"
 Lauren Alessi,UPMC Children’s Hospital of Pittsburgh,"UPMC Children’s Hospital of Pittsburgh, Pittsburgh, PA"
 Mojdeh Habibi Zoham,H & H Publishing,"H & H Publishing, New York, NY"
 Kirsten Orloff,Duke University Hospital,"Duke University Hospital, Durham, NC"
 Priscila Leal,GRAACC/IOP,"GRAACC/IOP, Sao Paulo, Sao Paulo"
 Jonathan Runyon,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Mona Guglielmo,UCLA,"UCLA, Los Angeles, CA"
 Avi Kopstick,Oregon Health and Science University,"Oregon Health and Science University, Portland, OR"
 Jamie Palumbo,VPS,"VPS, LLC, Los Angeles, CA"
 Elizabeth Pace,Cleveland,"Cleveland, OH"
 Elizabeth Pace,Cleveland,"Cleveland, OH"
